subj,rel,obj,teaching_weight,head_tier,tail_tier
分子,分成,原子,1.0,1,1
分子,分解,原子,1.0,1,1
原子,结合,分子,1.0,1,1
速度,呈,固态,0.3,3,0
速度,有,关系,0.3,3,0
重力,属于,万有引力,0.3,3,0
重力,属于,自然界,0.3,3,0
重力,属于,适用,0.3,3,0
重力,属于,实际,0.3,3,0
人造卫星,有,速度,0.3,0,3
速度,超过,音速,0.3,3,0
能量,出现,彩带,0.3,3,0
能量,哺育,生物,0.3,3,0
能量,来自于,反应,0.3,3,0
物质,转化,能量,0.3,0,3
速度,环绕,地球,0.3,3,0
物质,叫做,催化剂,0.3,0,3
惯性,保持,速度,0.3,0,3
二氧化锰,影响,速度,0.3,0,3
能量,处于,空间,0.3,3,0
电能,转化,能量,0.3,0,3
能量,转化,电能,0.3,3,0
物质,失去,电子,0.3,0,3
物质,得到,电子,0.3,0,3
聚变,释放,能量,0.3,0,3
原子,结成,分子,1.0,1,1
速度,变为,Vt,0.3,3,0
能量,相当于,石油,0.3,3,0
能量,处于,状态,0.3,3,0
原子,称为,元素,0.8,1,2
牵引力,使,速度,0.3,0,3
阻力,使,速度,0.3,0,3
降落伞,受到,重力,0.3,0,3
粒子,叫做,中子,0.3,0,3
元素,存在,原子,0.8,2,1
元素,有,同位素,0.3,2,3
中子,存在,吸引力,0.3,3,0
计算机,影响,速度,0.3,0,3
小球,具有,速度,0.3,0,3
摩擦力,阻止,移动,0.3,3,0
推力,获得,速度,0.3,0,3
能量,提供,能源,0.3,3,0
角度,叫做,速度,0.3,0,3
速度,等于,乘积,0.3,3,0
化学性质,叫做,催化剂,0.3,0,3
定律,叫做,动量,0.3,0,3
动量,发生,变化,0.3,3,0
动量,保持,不变,0.3,3,0
物质,吸收,能量,0.3,0,3
气体,作为,能量,0.3,0,3
太阳,作为,能量,0.3,0,3
电子,吸收,光线,0.3,3,0
思维,耗费,能量,0.3,0,3
能量,来自,木材,0.3,3,0
比例,影响,速度,0.3,0,3
火箭,提高,速度,0.3,0,3
火箭,达,速度,0.3,0,3
物体,具有,能量,0.3,0,3
手推车,具有,能量,0.3,0,3
能量,叫,动能,0.3,3,0
能量,叫,势能,0.3,3,0
物体,有,能量,0.3,0,3
粒子,具有,能量,0.3,0,3
莉泽·迈特纳,算出,能量,0.3,0,3
电子,转移,物体,0.3,3,0
物体,得到,电子,0.3,0,3
飞行,消耗,能量,0.3,0,3
电子,做,运动,0.3,3,0
装置,发射,能量,0.3,0,3
速度,等于,光速,0.3,3,0
发电站,利用,能量,0.3,0,3
金属,出,电子,0.3,0,3
二氧化锰,作为,催化剂,0.3,0,3
能量,有,差别,0.3,3,0
速度,达到,声速,0.3,3,0
化学反应,需要,能量,0.3,1,3
食物,补充,能量,0.3,0,3
比值,叫作,速度,0.3,0,3
能量,转换,电能,0.3,3,0
能量,输送,用户,0.3,3,0
能量,输送,供应,0.3,3,0
物体,辐射,能量,0.3,0,3
能量,叫作,量子,0.3,3,0
速度,乘以,时间,0.3,3,0
原子,接收,能量,0.3,1,3
状态,使,速度,0.3,0,3
催化剂,指,物质,0.3,3,0
小车,受到,摩擦力,0.3,0,3
物体,受到,重力,0.3,0,3
运动,受到,重力,0.3,0,3
方向,相同,重力,0.3,0,3
电灯,受到,重力,0.3,0,3
重力,没有,关系,0.3,3,0
晶体,分为,扩展,0.3,3,0
速度,满足,需要,0.3,3,0
能量,叫做,动能,0.3,3,0
能量,叫做,势能,0.3,3,0
分子,吸收,能量,0.3,1,3
苹果,受到,重力,0.3,0,3
晶体,变成,圆球,0.3,3,0
阻力,影响,速度,0.3,0,3
能量,叫做,物体,0.3,3,0
浮力,大于,重力,0.3,0,3
浮力,小于,重力,0.3,0,3
浮力,等于,重力,0.3,0,3
速度,等于,路程,0.3,3,0
乘客,保持,速度,0.3,0,3
原子核,集中,质量,0.3,3,2
分子,含有,原子,1.0,1,1
能量,相当于,用电量,0.3,3,0
恒星,有,速度,0.3,0,3
食品,提供,能量,0.3,0,3
速度,超过,声速,0.3,3,0
数值,超过,重力,0.3,0,3
重力,影响,植物,0.3,3,0
作用力,代替,重力,0.3,0,3
重力,大于,自然,0.3,3,0
宇航员,失去,重力,0.3,0,3
实验,取,晶体,0.3,0,3
乙烯,加快,速度,0.3,0,3
速度,快于,种子,0.3,3,0
知识,需要,能量,0.3,0,3
生物体,需要,能量,0.3,0,3
速度,不及,海豹,0.3,3,0
铁矿,有,重力,0.3,0,3
速度,接近,光速,0.3,3,0
重力,让,艾萨克·牛顿,0.3,3,0
质量,乘以,速度,0.3,2,3
光能,转化,能量,0.3,0,3
光线,转化,能量,0.3,0,3
光合作用,产生,能量,0.3,0,3
引力,使,速度,0.3,0,3
人造卫星,需要,速度,0.3,0,3
物体,达到,速度,0.3,0,3
强度,影响,速度,0.3,0,3
催化剂,参加,反应,0.3,3,0
催化剂,阅读,理解,0.3,3,0
拉力,等于,摩擦力,0.3,0,3
压力,等于,重力,0.3,0,3
食物,提供,能量,0.3,0,3
滑雪板,分散,重力,0.3,0,3
晶体,呈,结晶,0.3,3,0
时间,反映,速度,0.3,0,3
能量,借给,陌生人,0.3,3,0
能量,借给,来源,0.3,3,0
速度,不变,光年,0.3,3,0
光线,射入,速度,0.3,0,3
速度,等于,比值,0.3,3,0
速度,保持,不变,0.3,3,0
速度,叫做,运动,0.3,3,0
速度,具有,方向,0.3,3,0
比值,叫做,速度,0.3,0,3
速度,属于,矢量,0.3,3,0
程度,称为,速度,0.3,0,3
拉力,小于,重力,0.3,0,3
弹力,超过,限度,0.3,3,0
起重机,改用,速度,0.3,0,3
分子,包含,原子,1.0,1,1
原子,组合,分子,1.0,1,1
原子核,相当于,大小,0.3,3,0
原子,统称,元素,0.8,1,2
形成,失去,电子,0.3,0,3
金属元素,失去,电子,0.3,0,3
金属元素,得到,电子,0.3,0,3
速度,达到,小时,0.3,3,0
能量,流入,体内,0.3,3,0
路程,大于,位移,0.3,0,3
比值,称为,速度,0.3,0,3
重量,计算,重力,0.3,0,3
物体,叫做,弹力,0.3,0,3
重力,小于,浮力,0.3,3,0
原子,构成,分子,1.0,1,1
重力,大于,拉力,0.3,3,0
因素,影响,速度,0.3,0,3
档次,决定,速度,0.3,0,3
现象,叫做,重力,0.3,0,3
重力,带来,不便,0.3,3,0
元素,射出,原子核,0.3,2,3
速度,考虑,大小,0.3,3,0
报警器,检查,速度,0.3,0,3
细胞,释放,能量,0.3,0,3
体重,消耗,能量,0.3,0,3
速度,超过,以往,0.3,3,0
人类,减慢,速度,0.3,0,3
能量,转化,内能,0.3,3,0
电子,达到,结构,0.3,3,0
电子,发生,变化,0.3,3,0
晶体,称为,半径,0.3,3,0
原子核,有,吸引力,0.3,3,0
化学性质,活泼,电子,0.3,0,3
电子,形成,结构,0.3,3,0
电子,形成,稳定,0.3,3,0
元素,有,电子,0.3,2,3
分子,发生,化学反应,1.0,1,1
催化剂,改变,组成,0.3,3,0
分子,电离,离子,0.8,1,2
离子,结合,分子,0.8,2,1
离子,发生,化学反应,0.8,2,1
氧化剂,得,电子,0.3,0,3
金属,失,电子,0.3,0,3
金属,失去,电子,0.3,0,3
元素,失去,电子,0.3,2,3
数量,增加,速度,0.3,0,3
太阳,耗尽,能量,0.3,0,3
音乐,调节,速度,0.3,0,3
下列,得,电子,0.3,0,3
氧化剂,得到,电子,0.3,0,3
过氧化钠,失去,电子,0.3,0,3
二氧化锰,做,催化剂,0.3,0,3
催化剂,影响,平衡,0.3,3,0
加压,影响,化学平衡,0.3,0,3
催化剂,有,关系,0.3,3,0
反应,有,电子,0.3,0,3
反应,失去,电子,0.3,0,3
反应,得到,电子,0.3,0,3
电子,发生,反应,0.3,3,0
电流,流向,电子,0.3,0,3
能量,来自,糖类,0.3,3,0
物质,提供,能量,0.3,0,3
分子,含有,元素,0.8,1,2
晶体,有,特征,0.3,3,0
概念,统称,晶体,0.3,0,3
化合物,均为,晶体,0.3,0,3
晶体,具有,沸点,0.3,3,0
重力,受到,作用,0.3,3,0
摩擦力,给,物体,0.3,3,0
摩擦力,推,箱子,0.3,3,0
摩擦力,小结,条件,0.3,3,0
重力,产生,效果,0.3,3,0
速度,描述,快慢,0.3,3,0
物体,通过,位移,0.3,0,3
速度,改变,快慢,0.3,3,0
运动,发生,位移,0.3,0,3
比值,叫,速度,0.3,0,3
速度,回到,方向,0.3,3,0
物体,具有,速度,0.3,0,3
速度,发生,变化,0.3,3,0
物体,获得,速度,0.3,0,3
动量,有,大小,0.3,3,0
物体,发生,位移,0.3,0,3
重力,促使,物体,0.3,3,0
弹簧,具有,能量,0.3,0,3
能量,发生,转化,0.3,3,0
能量,叫作,动能,0.3,3,0
水平面,存在,摩擦力,0.3,0,3
速度,达到,v₂,0.3,3,0
能量,叫作,势能,0.3,3,0
物体,失去,电子,0.3,0,3
电子,受到,作用,0.3,3,0
物体,举高,重力,0.3,0,3
弹力,产生,条件,0.3,3,0
重力,分解,Fy,0.3,3,0
重力,等于,物体,0.3,3,0
面积,等于,位移,0.3,0,3
速度,填,变化,0.3,3,0
速度,填,不变,0.3,3,0
时间,算出,位移,0.3,0,3
瞬时,指,速度,0.3,0,3
小球,在,速度,0.3,0,3
物体,具有,动量,0.3,0,3
卡车,受到,重力,0.3,0,3
货物,受到,重力,0.3,0,3
物件,克服,摩擦力,0.3,0,3
圆环,小于,重力,0.3,0,3
压力,小于,重力,0.3,0,3
弹力,遵守,定律,0.3,3,0
位移,表示,方向,0.3,3,0
速度,描述,状态,0.3,3,0
速度,化为,分量,0.3,3,0
速率,称为,速度,0.3,0,3
原子核,COMPOSED_OF,什么东西,0.3,3,0
分子,COMPOSED_OF,原子,1.0,1,1
二氧化锰,IS_A,催化剂,0.3,0,3
速度,IS_A,比值,0.3,3,0
位移,IS_A,因素,0.3,3,0
原子核,IS_A,能量,0.3,3,3
动量,IS_A,矢量,0.3,3,0
动量,IS_A,标量,0.3,3,0
能量,IS_A,概念,0.3,3,0
电子,IS_A,粒子,0.3,3,0
重力,IS_A,性质,0.3,3,0
动能,IS_A,能量,0.3,0,3
氢原子,IS_A,原子核,0.3,0,3
吸引力,IS_A,重力,0.3,0,3
液晶,IS_A,晶体,0.3,0,3
顾名思义,IS_A,晶体,0.3,0,3
速度,IS_A,飞跃,0.3,3,0
速度,IS_A,矢量,0.3,3,0
位移,IS_A,方向,0.3,3,0
元素,IS_A,质量,0.6,2,2
重力,IS_A,吸引力,0.3,3,0
太阳能,IS_A,能量,0.3,0,3
碳酸钠,IS_A,晶体,0.3,0,3
